Entity Information,Initial Filing Date,Status,Entity Type,Formed In,Agent
"""FORENSIC TESTING SERVICES"". (4841189)",01/25/2022,Active,Stock Corporation - Out of State - Stock,MICHIGAN,CHRISTOPHER RAYMOND BOMMARITO
1-HOUR COVID TEST CENTERS INC. (4622544),07/31/2020,Active,Stock Corporation - CA - General,CALIFORNIA,DARRYL ZILBERSTEIN
1ST CIRCUIT MEDICAL COMPANY 'CURE FOR H.I.V. IN THE TUBERCULOSIS INFECTION TOLERANCE TEST' (4588264),05/01/2020,Active,Stock Corporation - CA - General,CALIFORNIA,ATARI ABIA ENDSLEY
1ST SMOG TEST ONLY LLC (202102010196),01/14/2021,Active,Limited Liability Company - CA,CALIFORNIA,
420 PERCENT TESTERS LLC (202103310836),01/28/2021,Active,Limited Liability Company - CA,CALIFORNIA,KIM ABT
"5 STAR TESTING, INC. (4536455)",12/06/2019,Active,Stock Corporation - Out of State - Stock,WASHINGTON,CORPORATION SERVICE COMPANY WHICH WILL DO BUSINESS IN CALIFORNIA AS CSC - LAWYERS INCORPORATING SERVICE
5 STAR WELLNESS TESTING INC (4817281),12/06/2021,Active,Stock Corporation - CA - General,CALIFORNIA,TERRY JOSEPH METOYER
A & G SMOG TEST ONLY (2953955),04/21/2008,Active,Stock Corporation - CA - General,CALIFORNIA,OVSEP DZHIGARSZYAN
"A B & A TEST COMPANY, INC. (1323809)",11/13/1984,Active,Stock Corporation - CA - General,CALIFORNIA,DANIEL VENENCIA
A QUICK SMOG TEST CENTER (2901757),08/16/2006,Active,Stock Corporation - CA - General,CALIFORNIA,INDERPREET KAUR SANDAL
A SMOG TEST ONLY LLC (201622310233),08/04/2016,Active,Limited Liability Company - CA,CALIFORNIA,
"A SMOG TEST ONLY, INC. (2561108)",10/17/2003,Active,Stock Corporation - CA - General,CALIFORNIA,TIFFANY MOORE
A TESTING DIARY INC. (4813719),11/23/2021,Active,Stock Corporation - CA - General,CALIFORNIA,RUMI AOKI
"A&P COMPLIANCE TESTING, INC. (3459390)",03/06/2012,Active,Stock Corporation - CA - General,CALIFORNIA,ALMA GOMEZ-MAGANA
"A-1 TESTING / MAINTENANCE, INC. (2232609)",05/08/2000,Active,Stock Corporation - CA - General,CALIFORNIA,"MOBO REGISTERED AGENT, PC"
AA SMOG TEST ONLY OF WINDSOR (2672924),08/11/2004,Active,Stock Corporation - CA - General,CALIFORNIA,ROBERT LAPREVOTTE
"AAA BACKFLOW DEVICE TESTING, INC. (1798003)",01/21/1997,Active,Stock Corporation - CA - General,CALIFORNIA,CHARLES J DEVLIN
AAAA TEST CO. (4550554),01/27/2020,Active,Stock Corporation - CA - General,CALIFORNIA,BUSINESS FILINGS INCORPORATED WHICH WILL DO BUSINESS IN CALIFORNIA AS DELAWARE BUSINESS FILINGS INCORPORATED
"AABC TESTING & CERTIFICATION, INC. (3529240)",01/15/2013,Active,Stock Corporation - CA - General,CALIFORNIA,DENNIS A MILLER
AARON ZEFF'S BACKFLOW VALVE TESTING COMPANY LLC (202106810130),03/04/2021,Active,Limited Liability Company - CA,CALIFORNIA,AARON G ZEFF SR.
"ABACUS TESTING LABS, INC. (4300833)",07/23/2019,Active,Stock Corporation - CA - General,CALIFORNIA,LYNNE BOLDUC
"ABB TESTING, LLC (201821110607)",07/24/2018,Active,Limited Liability Company - CA,CALIFORNIA,JOHN KELLEHER
A-BLOC INSPECTION & TESTING INC. (3869582),01/28/2016,Active,Stock Corporation - CA - General,CALIFORNIA,"MYCORPORATION BUSINESS SERVICES, INC."
"ABM TEST, INC. (2756084)",07/07/2005,Active,Stock Corporation - CA - General,CALIFORNIA,ROBERT A BOGUSKI JR
ABORTION TESTIMONIALS INC. (4594214),05/13/2020,Active,Nonprofit Corporation - CA - Public Benefit,CALIFORNIA,"LEGALZOOM.COM, INC."
ABSOLUTE AIR TESTING INC. (4645535),09/22/2020,Active,Stock Corporation - CA - General,CALIFORNIA,MOHANED AMIN
ACCU TEST AND BALANCE INC. (4726885),04/01/2021,Active,Stock Corporation - CA - General,CALIFORNIA,HUNG LAU
ACCURATE ANALYTICAL TESTING LLC (201925210450),09/09/2019,Active,Limited Liability Company - Out of State,MICHIGAN,
"ACCURATE CONCRETE MOISTURE TESTING, INC. (3921089)",06/24/2016,Active,Stock Corporation - CA - General,CALIFORNIA,MICHAEL WAYNE BIVINS
"ACCURATE COVID TESTING, LLC (202208410302)",03/17/2022,Active,Limited Liability Company - Out of State,DELAWARE,
"ACCURATE TESTING, INC. (782572)",05/26/1976,Active,Stock Corporation - CA - General,CALIFORNIA,DORAL LOWIS NEELEY
"ACHIEVEMENT POINT TEST SERVICE II, LLC (201117610226)",05/05/2011,Active,Limited Liability Company - CA,CALIFORNIA,ELLOISE BENNETT
"ACHIEVEMENT POINT TEST SERVICE, LLC (201117610225)",05/05/2011,Active,Limited Liability Company - CA,CALIFORNIA,ELLOISE BENNETT
"ACTIVATED CARBON TESTING LABS, INC. (4261584)",04/02/2019,Active,Stock Corporation - CA - General,CALIFORNIA,TOM NASH
"ACTIVISION TESTING & VERIFICATION, INC. (2805722)",10/13/2005,Active,Stock Corporation - CA - General,CALIFORNIA,CORPORATION SERVICE COMPANY WHICH WILL DO BUSINESS IN CALIFORNIA AS CSC - LAWYERS INCORPORATING SERVICE
ADDING THIS ONE TO TEST MY ABILITY TO DELETE IN PRODUCTION (200017800007),05/06/2000,Active,Limited Partnership - CA,CALIFORNIA,LORI FACKENTHALL
ADEPT TESTING LLC (202015010388),05/27/2020,Active,Limited Liability Company - CA,CALIFORNIA,
"ADVANCED ANALYTICAL TESTING SERVICE, INC. (3344981)",12/29/2010,Active,Stock Corporation - CA - General,CALIFORNIA,SHEN QU
"ADVANCED BOTANICAL CONSULTING & TESTING, LLC (202007910002)",04/22/2002,Active,Limited Liability Company - CA,CALIFORNIA,DALE EATHERLY
ADVANCED TEST COLLECTION SERVICES INC. (4831843),01/11/2022,Active,Stock Corporation - CA - General,CALIFORNIA,MIKE RAPOPORT
ADVANCED TEST EQUIPMENT CORPORATION (1321643),10/22/1984,Active,Stock Corporation - CA - General,CALIFORNIA,J BERG
"ADVANCED TEST MANAGEMENT AND CERTIFICATION LABS, INC. (3738936)",01/02/2015,Active,Stock Corporation - CA - General,CALIFORNIA,CHARLES C.H. WU
ADVANCED TEST PRODUCTS (2108257),05/08/1998,Active,Stock Corporation - CA - General,CALIFORNIA,ROBERT BYRNE
"ADVANCED TESTING & INSPECTION, LLC (200701010098)",01/09/2007,Active,Limited Liability Company - CA,CALIFORNIA,MOJTABA TAVAKOLIAN
ADVANCED TESTING SERVICES LLC (202024210127),08/27/2020,Active,Limited Liability Company - CA,CALIFORNIA,CENLIANG YANG
"ADVANCED TESTING TECHNOLOGIES, INC. (3148212)",06/24/2009,Active,Stock Corporation - CA - General,CALIFORNIA,FRED SABATINE
"ADVANTAGE TESTING OF LOS ANGELES, LLC (200804510176)",02/14/2008,Active,Limited Liability Company - CA,CALIFORNIA,
"ADVANTAGE TESTING OF SILICON VALLEY, LLC (200719010188)",07/09/2007,Active,Limited Liability Company - CA,CALIFORNIA,
ADVANTAGE TESTING SERVICE (4710436),03/12/2021,Active,Stock Corporation - CA - General,CALIFORNIA,XING BO LEI
"ADVANTEST TEST SOLUTIONS, INC. (4217474)",12/05/2018,Active,Stock Corporation - Out of State - Stock,DELAWARE,CORPORATION SERVICE COMPANY WHICH WILL DO BUSINESS IN CALIFORNIA AS CSC - LAWYERS INCORPORATING SERVICE
AE SMOG CHECK TEST ONLY (3420363),10/14/2011,Active,Stock Corporation - CA - General,CALIFORNIA,DAT CHIEU BACH
AEHR TEST SYSTEMS (817312),05/25/1977,Active,Stock Corporation - CA - General,CALIFORNIA,KENNETH B. SPINK
AERO TESTING SOLUTIONS LLC (202029610453),10/20/2020,Active,Limited Liability Company - CA,CALIFORNIA,MATTHEW STOLLER
"AFTER HOURS FINGERPRINTING AND DRUG TESTING, LLC (201211210501)",04/09/2012,Active,Limited Liability Company - CA,CALIFORNIA,KRYSTAL ROBERTS
AGAMA TESTING AND INSPECTION LLC (202017410524),06/21/2020,Active,Limited Liability Company - CA,CALIFORNIA,DAVID M AGAMA
"AGORALOGOS TEST PARTNERS, L.P. (200529700013)",10/21/2005,Active,Limited Partnership - Out of State,DELAWARE,DALLAS ROBERT PARKER JR
AGUIAR MILK TESTING INC (3912455),05/27/2016,Active,Stock Corporation - CA - General,CALIFORNIA,CECILIA AGUIAR
"AGUILAR TESTING SERVICE, INC. (4239708)",01/31/2019,Active,Stock Corporation - CA - General,CALIFORNIA,IGNACIO AGUILAR
AIM TESTING LABORATORY (4162216),06/08/2018,Active,Stock Corporation - CA - General,CALIFORNIA,ROBERT VICTOR LAPOINTE
"AIM WIRELESS TEST SOLUTIONS, INC (3318050)",09/08/2010,Active,Stock Corporation - CA - General,CALIFORNIA,PI-CHEN LIN HU
"AIR AMERICA TESTING, INC. (3681627)",06/02/2014,Active,Stock Corporation - CA - General,CALIFORNIA,KIRA LYN CORNELISON
"AIR TEST & BALANCE, INC. (1429882)",02/19/1988,Active,Stock Corporation - CA - General,CALIFORNIA,RICHARD G BERNAL
AIR X TESTING SERVICES (3388581),06/24/2011,Active,Stock Corporation - CA - General,CALIFORNIA,DAVID J WHITCOMB
"AKYUMIN TESTING, LLC (202109510930)",03/30/2021,Active,Limited Liability Company - CA,CALIFORNIA,
"ALCOHOL & DRUG TESTING SERVICES, LLC (201416110177)",06/09/2014,Active,Limited Liability Company - Out of State,NEVADA,KATHLEEN BYKERK
ALL ACCESS TESTING LABS INC. (4675281),01/04/2021,Active,Stock Corporation - CA - General,CALIFORNIA,JAMES W. TANNER
ALL AMERICAN INSPECTION & TESTING LLC (202200311126),12/30/2021,Active,Limited Liability Company - CA,CALIFORNIA,
"ALL AMERICAN SMOG TEST ONLY, INC. (3022518)",08/31/2007,Active,Stock Corporation - CA - General,CALIFORNIA,ROBERT PADILLA
"ALL SOURCE TESTING, INC. (4841930)",02/01/2022,Active,Stock Corporation - CA - General,CALIFORNIA,BUD WEYTHMAN
ALL STAR MOLD TESTING & WATER DAMAGE INC. (4531506),11/18/2019,Active,Stock Corporation - CA - General,CALIFORNIA,TERESA ANN LANE
ALLERGY TEST PARTNERS LLC (202114610248),05/21/2021,Active,Limited Liability Company - CA,CALIFORNIA,HOOTAN ZANDIFAR
"ALLIANCE SOURCE TESTING, LLC (202108110092)",03/05/2021,Active,Limited Liability Company - Out of State,TENNESSEE,
ALLIANCE TEST ENGINEERING CORPORATION (2027886),03/03/1998,Active,Stock Corporation - CA - General,CALIFORNIA,JACQUELINE PEREZ
ALPHA TESTING SERVICES LLC (202203210289),01/30/2022,Active,Limited Liability Company - CA,CALIFORNIA,MICHELLE SAVAGE
"ALPINE TESTING SOLUTIONS, INC. (3636311)",01/10/2014,Active,Stock Corporation - CA - General,CALIFORNIA,SCOTT RUSSELL
ALR ENGINEERING & TESTING (4149130),05/04/2018,Active,Stock Corporation - CA - General,CALIFORNIA,JOHN LONGORIA
"ALS TESTING SERVICES GROUP, INC. (2180409)",10/28/1999,Active,Stock Corporation - CA - General,CALIFORNIA,"NORTHWEST REGISTERED AGENT, INC."
"ALTEC TESTING & ENGINEERING, INC. (1775852)",01/05/1996,Active,Stock Corporation - CA - General,CALIFORNIA,PATRICK SCOTT ADAMS
AMAR TEST ONLY SMOG CENTER INC. (2771758),09/02/2005,Active,Stock Corporation - CA - General,CALIFORNIA,MARVIN LOPEZ
AMERICAN AIR TESTING (2579367),01/14/2004,Active,Stock Corporation - CA - General,CALIFORNIA,LAURA RIERA
AMERICAN ALLIANCE DRUG TESTING (1899191),11/22/1995,Active,Nonprofit Corporation - CA - Public Benefit,CALIFORNIA,BROOKS ELLISON
"AMERICAN COLLEGE TESTING PROGRAM, INC. (731509)",02/25/1975,Active,Nonprofit Corporation - Out of State,IOWA,CORPORATION SERVICE COMPANY WHICH WILL DO BUSINESS IN CALIFORNIA AS CSC - LAWYERS INCORPORATING SERVICE
"AMERICAN ELECTRICAL TESTING CO., LLC (201708910515)",03/30/2017,Active,Limited Liability Company - Out of State,MASSACHUSETTS,
AMERICAN ENGINEERING TESTING INC. (4814261),11/22/2021,Active,Stock Corporation - Out of State - Stock,MINNESOTA,REGISTERED AGENTS INC
AMERICAN ENVIRONMENTAL TESTING LABORATORY LLC (201815010373),05/25/2018,Active,Limited Liability Company - CA,CALIFORNIA,ROMAN VULIS
"AMERICAN ENVIRONMENTAL TESTING LABORATORY, INC. (1486865)",09/04/1990,Active,Stock Corporation - CA - General,CALIFORNIA,ARA BABAIAN
AMERICAN ENVIRONMENTAL TESTING LLC (202001710144),01/02/2020,Active,Limited Liability Company - CA,CALIFORNIA,
American Pole Testing LLC (202250016085),04/20/2022,Active,Limited Liability Company - Out of State,NORTH CAROLINA,REGISTERED AGENTS INC
"AMERICAN RESEARCH AND TESTING, INC. (1119269)",08/02/1982,Active,Stock Corporation - CA - General,CALIFORNIA,"CALIFORNIA CORPORATE AGENTS, INC."
"AMERICAN SEAM TESTER, INC. (1680079)",01/24/1991,Active,Stock Corporation - CA - General,CALIFORNIA,"SLATER COSME, PC."
AMERICAN SMOG TEST ONLY LLC (202200110379),01/01/2022,Active,Limited Liability Company - CA,CALIFORNIA,CHRISTOPHER W LAMBERT
"AMERICAN SOCIETY FOR NONDESTRUCTIVE TESTING - GREATER LOS ANGELES SECTION, INCORPORATED (1428406)",02/01/1988,Active,Nonprofit Corporation - CA - Public Benefit,CALIFORNIA,HECTOR CASTRO
AMERICAN SOIL TESTING (1596162),09/03/1987,Active,Stock Corporation - CA - General,CALIFORNIA,BEHNAM H RAHIMI
AMERICAN SOIL TESTING AND ENGINEERING INC. (4126544),03/07/2018,Active,Stock Corporation - CA - General,CALIFORNIA,ALI MORSHEDIAN
"AMERICAN TANK TESTING, INC. (2368767)",12/04/2001,Active,Stock Corporation - CA - General,CALIFORNIA,RAZVAN RAICU
AMERICAN TESTING LAB INC. (4051179),07/31/2017,Active,Stock Corporation - CA - General,CALIFORNIA,NOUR ABOCHAMA
"AMERICAN TESTING SERVICES, INC. (3448821)",01/27/2012,Active,Stock Corporation - CA - General,CALIFORNIA,ROBERT WADE BERG
"AMERICAN TESTING TECHNOLOGY, INC. (3578963)",06/17/2013,Active,Stock Corporation - CA - General,CALIFORNIA,XIANGYU YU
"AMI ENVIRONMENTAL TESTING, LLC (200536110186)",12/16/2005,Active,Limited Liability Company - CA,CALIFORNIA,WILLIAM MCLEOD
"AMM SEED TESTING, INC. (2938821)",04/12/2004,Active,Stock Corporation - CA - General,CALIFORNIA,CHARLEY STOLL
AMSLER TESTING INC. (1415920),08/20/1987,Active,Stock Corporation - Out of State - Stock,DELAWARE,SVEN NEUMANN
ANACAPA TESTING LABS INC (4021206),05/01/2017,Active,Stock Corporation - CA - General,CALIFORNIA,MARSHA LEE MCINTIRE
ANAHEIM TEST LAB INC. (3561525),04/18/2013,Active,Stock Corporation - CA - General,CALIFORNIA,MICHELLE INCH
"ANALOG TEST AND MEASUREMENT, INC. (3647174)",02/13/2014,Active,Stock Corporation - CA - General,CALIFORNIA,FRANK RUSSOW
"ANALOG TEST ENGINES, INC. (3191881)",03/10/2009,Active,Stock Corporation - CA - General,CALIFORNIA,JEFF KING
ANGELES BACKFLOW TESTING AND SERVICES LLC (202012210324),04/28/2020,Active,Limited Liability Company - CA,CALIFORNIA,
"ANKO ELECTRONICS TEST & MEASUREMENT, INC. (3460969)",03/12/2012,Active,Stock Corporation - CA - General,CALIFORNIA,JAMES E LUND
"ANTI-MALWARE TESTING STANDARDS ORGANIZATION, INC. (3096539)",04/21/2008,Active,Nonprofit Corporation - CA - Mutual Benefit,CALIFORNIA,PAUL J. TAUBER
"AO TEST & REPAIR, LLC (202029510436)",10/19/2020,Active,Limited Liability Company - CA,CALIFORNIA,HECTOR MANUEL GALLO
"AP ENGINEERING AND TESTING, INC. (2024024)",01/02/1998,Active,Stock Corporation - CA - General,CALIFORNIA,APICHART - PHUKUNHAPHAN
AP MAX TEST PREP LLC (202126410159),09/17/2021,Active,Limited Liability Company - CA,CALIFORNIA,NICOLE M WINDMON
AP MEDICAL TESTING LLC (202128410393),10/07/2021,Active,Limited Liability Company - Out of State,WYOMING,
APEX TESTING LABORATORIES (2743072),04/26/2005,Active,Stock Corporation - CA - General,CALIFORNIA,ABDELKADER KHELIFA
"APPARATUS TESTING & ENGINEERING, INC. (1234783)",12/30/1983,Active,Stock Corporation - CA - General,CALIFORNIA,HAROLD H CARR
ARC POWER TESTING LLC (202120910537),07/23/2021,Active,Limited Liability Company - CA,CALIFORNIA,
ARCADIA TEST INC. (3184893),12/31/2008,Active,Stock Corporation - CA - General,CALIFORNIA,VINCENT N NGUYEN
"ARCADIA TEST ONLY CENTER, INC. (2425998)",04/04/2002,Active,Stock Corporation - CA - General,CALIFORNIA,SIMON K ZAHTERIAN
"ARCHITECTURAL TESTING, INC. (1812902)",12/11/1991,Active,Stock Corporation - Out of State - Stock,PENNSYLVANIA,CORPORATION SERVICE COMPANY WHICH WILL DO BUSINESS IN CALIFORNIA AS CSC - LAWYERS INCORPORATING SERVICE
ARROW INSPECTION AND TESTING (2312417),05/15/2001,Active,Stock Corporation - CA - General,CALIFORNIA,CARLEEN C FERNANDEZ
"ARTESIA TEST ONLY CENTER, INC (3285674)",02/25/2010,Active,Stock Corporation - CA - General,CALIFORNIA,DE DANG
"ARTISTS IN CHRISTIAN TESTIMONY INTL, INC. (1059196)",11/06/1981,Active,Nonprofit Corporation - CA - Religious,CALIFORNIA,SARAH ANN BONOMO
A-SAP ENVIRONMENTAL TESTING LLC (202026510066),09/17/2020,Active,Limited Liability Company - CA,CALIFORNIA,
"ASBESTOS CONTROL TESTING, INC. (2097689)",12/14/1998,Active,Stock Corporation - CA - General,CALIFORNIA,THOMAS WAYNE CRONAN
ASBESTOS TESTING & INSPECTIONS INC. (3356246),01/31/2011,Active,Stock Corporation - CA - General,CALIFORNIA,MICHAEL HICKEY
ASBURY TEST & BALANCE LLC (202102510846),01/19/2021,Active,Limited Liability Company - CA,CALIFORNIA,DARYL C IDLER JR
"ASBURY TEST AND BALANCE, INC. (4718664)",04/01/2021,Active,Stock Corporation - CA - General,CALIFORNIA,DARYL C IDLER JR.
"A-SCAN NONDESTRUCTIVE TESTING, INC. (4240096)",02/01/2019,Active,Stock Corporation - CA - General,CALIFORNIA,MICHAEL R COLLINGWOOD
A-SQUARED TESTING LLC (202124410445),09/01/2021,Active,Limited Liability Company - CA,CALIFORNIA,ANDREW DAWAYNE PARADA
ASSET TESTING SOLUTIONS INC. (4640452),09/03/2020,Active,Stock Corporation - CA - General,CALIFORNIA,BRUCE ZAER
ASSOCIATED INSPECTION AND TESTING INC. (2987809),05/03/2007,Active,Stock Corporation - CA - General,CALIFORNIA,LAURA LYDIA LLOYD YODER
ASTRO MECHANICAL TESTING LABORATORY LLC (202011810202),04/22/2020,Active,Limited Liability Company - CA,CALIFORNIA,
ASTRONICS TEST SYSTEMS INC. (3640869),01/27/2014,Active,Stock Corporation - Out of State - Stock,DELAWARE,CORPORATE CREATIONS NETWORK INC.
ATLAS ENVIRONMENTAL TESTING INC (4613089),07/10/2020,Active,Stock Corporation - CA - General,CALIFORNIA,JOSEPH ROTONDO
"ATLAS INSPECTION AND TESTING, LLC (201502610088)",01/21/2015,Active,Limited Liability Company - CA,CALIFORNIA,ROBERT SHIN
"ATLAS TESTING LABORATORIES, INC. (1069527)",03/30/1982,Active,Stock Corporation - CA - General,CALIFORNIA,STEVEN CUEVAS
"AUDIO TEST KITCHEN, INC. (4044759)",07/11/2017,Active,Stock Corporation - Out of State - Stock,DELAWARE,ALEX OANA
"AUTHORIZED TESTING, INC. (894583)",08/10/1978,Active,Stock Corporation - CA - General,CALIFORNIA,DAVID CHARLES FOUNTAIN
"AUTO-EMISSION TEST SYSTEMS, INC. (2032787)",08/13/1997,Active,Stock Corporation - CA - General,CALIFORNIA,DAVID E WILLIAMS
AUTOMATED TEST PROGRAMMING LLC (202003110353),01/19/2020,Active,Limited Liability Company - CA,CALIFORNIA,SHIH-MING CHANG
"AUTOMATED TESTING ASSOCIATES, LTD. (198418300243)",07/01/1984,Active,Limited Partnership - CA,CALIFORNIA,R. A. MCDONALD
"AUTOMATIC SPRINKLER TESTING & INSPECTION SERVICES, INC. (1535143)",06/20/1986,Active,Stock Corporation - CA - General,CALIFORNIA,KARINA OROZCO
AUTOMATIC TEST PREPARATION LLC (201203510407),01/20/2012,Active,Limited Liability Company - CA,CALIFORNIA,JOSHUA LORD
"AUTOMOTIVE TESTING AND DEVELOPMENT SERVICES, INC. (1454776)",01/23/1989,Active,Stock Corporation - CA - General,CALIFORNIA,DEVON SMITH
AVERNA TEST SYSTEMS INC. (3306543),07/01/2010,Active,Stock Corporation - Out of State - Stock,GEORGIA,CORPORATION SERVICE COMPANY WHICH WILL DO BUSINESS IN CALIFORNIA AS CSC - LAWYERS INCORPORATING SERVICE
AVIONICS TEST & ANALYSIS CORPORATION (3273258),01/20/2010,Active,Stock Corporation - Out of State - Stock,NEVADA,CORPORATION SERVICE COMPANY WHICH WILL DO BUSINESS IN CALIFORNIA AS CSC - LAWYERS INCORPORATING SERVICE
"AVL TEST SYSTEMS, INC. (2758572)",07/06/2005,Active,Stock Corporation - Out of State - Stock,DELAWARE,C T CORPORATION SYSTEM
"AXIOM TEST EQUIPMENT, INC. (2592858)",12/20/2005,Active,Stock Corporation - CA - General,CALIFORNIA,GARY F SHILTS
AYS QUICK TEST LLC (202202110585),01/18/2022,Active,Limited Liability Company - CA,CALIFORNIA,ADIR SABAG
"B. HILLEBRANDT SOILS TESTING, INC. (2185178)",01/24/2000,Active,Stock Corporation - CA - General,CALIFORNIA,BRADLEY KARL HILLEBRANDT
B.C.P. TUBE TESTING (198417600216),07/01/1984,Active,Limited Partnership - CA,CALIFORNIA,JOHN W. BRANCH
BAJA TESTING LAB LLC (201523710015),08/24/2015,Active,Limited Liability Company - CA,CALIFORNIA,LILIANA PARRA
BATTLE TESTED B52 INCORPORATED (3926667),07/19/2016,Active,Stock Corporation - CA - General,CALIFORNIA,MICHAEL VERGARA
BATTLE TESTED INC. (4726378),04/19/2021,Active,Stock Corporation - CA - General,CALIFORNIA,MICHAEL MELANO
"BATTLE TESTED KIDS, INC. (4229734)",01/07/2019,Active,Nonprofit Corporation - CA - Public Benefit,CALIFORNIA,NITAROZELLE SIMPSON
BATTLE TESTED SOLUTIONS LLC (201405610351),02/20/2014,Active,Limited Liability Company - CA,CALIFORNIA,GREGORY H SCHNEIDER
BATTLE TESTED WAR READY LLC (202020310350),07/18/2020,Active,Limited Liability Company - CA,CALIFORNIA,CLARENCE NEWTON III
"BATTLE TESTED, LLC (201900910712)",01/04/2019,Active,Limited Liability Company - CA,CALIFORNIA,NITAROZELLE SIMPSON
"BAY AREA TESTING CENTER, LLC (201011710234)",04/23/2010,Active,Limited Liability Company - CA,CALIFORNIA,ANDREW DAI
"BCO SIMPLY SMOG EXPRESS TEST ONLY, INC. (2398382)",05/16/2002,Active,Stock Corporation - CA - General,CALIFORNIA,DAVID BOOTH
"BEARING TEST, INC. (1437441)",05/26/1988,Active,Stock Corporation - CA - General,CALIFORNIA,SUSAN M COLLIER
BEN TIPP TESTAMENTARY-GATEWAY LLC (199815410011),06/03/1998,Active,Limited Liability Company - Out of State,DELAWARE,JAMES G WELLBAUM
BENCH TESTING SERVICES INC. (3271702),01/13/2010,Active,Stock Corporation - CA - General,CALIFORNIA,MILTON THAN RIVERA
"BESS MATERIALS TESTING AND INSPECTION, INC. (2822365)",12/23/2005,Active,Stock Corporation - CA - General,CALIFORNIA,MARTHA BOHORQUEZ
"BESS TESTLAB, INC. (1932310)",04/11/1995,Active,Stock Corporation - CA - General,CALIFORNIA,MARTHA BOHORQUEZ
